num_points,psnr_mean,psnr_std
0,0.12151492559545249,0.0020635174879417365
1,0.13071453751670367,0.002168719918785347
2,0.14049951334290794,0.0023269718455241764
3,0.14935451819196147,0.0024454377551865344
4,0.15567426795180747,0.0025178029768633155
5,0.16118039472422677,0.0025860570576624236
6,0.16597330067656596,0.0026778768022325734
8,0.17286780232398835,0.0027769146192563984
10,0.1776206846241951,0.0028001307068680125
13,0.183741514013862,0.0028579698095873942
16,0.18751448428707843,0.0028832868003254653
20,0.19225725471018998,0.0028919150333074433
25,0.19644480321777547,0.0029137343540928924
32,0.2014942704635097,0.002959423789460666
40,0.2049235973623799,0.002964814360450653
50,0.20823911008135998,0.0029830091092929584
63,0.21137555709672237,0.0029902088459926755
79,0.21410056173684572,0.0029731550148174093
100,0.21718126148877853,0.002979930303762085
126,0.21976937382651754,0.0029919692121781576
158,0.22190720984083057,0.0029971045809347105
200,0.22423752063926167,0.0029981309635014894
251,0.22567366812764905,0.002996578172942381
316,0.22694707513962015,0.002988685998402454
398,0.22815746725655045,0.0029734435568173033
501,0.2289653518064555,0.002961645767396337
