num_points,psnr_mean,psnr_std
0,0.11863319647683418,0.0018016627692443495
1,0.13552754975969322,0.0020919377679188334
2,0.14844561105851278,0.002282401336010517
3,0.1572904467588205,0.0023971120801237035
4,0.16366236327871117,0.0024484308964973014
5,0.1690989607544181,0.002492149382336762
6,0.17337480432460364,0.002525685897058724
8,0.17945448469402314,0.0025677423495879914
10,0.18495110643919338,0.0025995003895279436
13,0.19026619263924374,0.0026256279613564313
16,0.19485041284494706,0.0026306875914124273
20,0.19968782718574454,0.0026694884938718282
25,0.20356152221527468,0.0026706426208478644
32,0.2076022361220011,0.0026990597920072655
40,0.2105761408542327,0.0026946544295233083
50,0.21319630377979,0.0027000943613965456
63,0.21608035779326654,0.0026987434683304586
79,0.2178148389078696,0.0026861730431620785
100,0.2192691740508668,0.0026776538911435083
126,0.2202304332915089,0.002672315889685153
158,0.2208413284279485,0.0026704923904597977

