num_points,psnr_mean,psnr_std
0,0.12095087872966948,0.0020098886217158065
1,0.1337661264714892,0.0021315937536871715
2,0.14631842271708925,0.002347716127463931
3,0.15500457193137485,0.0024871599702135667
4,0.1617910512505736,0.0025393057071640807
5,0.16670999936867176,0.0026057694117899025
6,0.17173671174884936,0.0026581563049735716
8,0.17854135661484932,0.0027406004870348033
10,0.1836534634373533,0.002805628732401931
13,0.19001055042444426,0.0028463126868106285
16,0.19422058371240614,0.002910894765444468
20,0.19964702618752173,0.0029613893337667257
25,0.20503844207675406,0.003007539571327384
32,0.20972477037662965,0.003017993614813898
40,0.21423805831956233,0.0030487173676255843
50,0.2184300208851203,0.003069361040478921
63,0.22296442501698518,0.003106841999487554
79,0.2268460502011748,0.0031231784552194866
100,0.23044192692082163,0.0031364410339663746
126,0.2340611920295248,0.003138849032795406
158,0.23777534524012933,0.0031546173065369197
200,0.24133900299832847,0.0031552287778032883
251,0.24420518283003395,0.003146978426937514
316,0.24649782520912347,0.003128784085989862
398,0.2479212479181008,0.0030956396864161534
501,0.24834943743906074,0.003063518683800286
