num_points,psnr_mean,psnr_std
0,0.11573314137848024,0.0018612022457183634
1,0.13165522241037497,0.0020634690988198473
2,0.14254768592453484,0.0022365307389741814
3,0.15221821828772567,0.002357809549537598
4,0.1580494850191404,0.0024605925269423523
5,0.16333654170096235,0.0025283908982088343
6,0.168590207240626,0.0026065882646111706
8,0.17536187729120015,0.0026390481319957058
10,0.18085533200630222,0.0027067787499989986
13,0.1867555313088743,0.0027612992068571838
16,0.1926043274531187,0.002785735404120751
20,0.19636103257411544,0.0027963919510922905
25,0.20005744180603383,0.002833906535717521
32,0.20749699473646335,0.002940409625040905
40,0.2109969712148057,0.002958382978634272
50,0.21588824770614995,0.0029811807082577393
63,0.2196400102067638,0.0030083076577470964
79,0.22360038899810358,0.0030344260869471906
100,0.22739179534292694,0.003050503401045487
126,0.230747975650992,0.0030695586775441376
158,0.23305442483676447,0.0030716084421208477
200,0.23589072160951344,0.0030699155227563385
251,0.23762299158926817,0.003069893495783109
316,0.23949389290881304,0.0030630782961368927
398,0.2410322499335413,0.0030437401428944043
501,0.24162693542297614,0.003016729132229676
