num_points,psnr_mean,psnr_std
0,0.1426581240679146,0.002894733083211074
1,0.16246033133988913,0.003432366491001184
2,0.17944481594519124,0.0039483815681121606
3,0.19423524633709724,0.004200470908039688
4,0.20550814702547032,0.004478130900275783
5,0.21250373341122683,0.004717595815421132
6,0.21784271758924148,0.004885498848629706
8,0.23008123180886295,0.004952065545592167
10,0.238172291048215,0.00504776690210486
13,0.25105216935697716,0.005523845447972112
16,0.25884398084176274,0.005654836337670476
20,0.26792785956684534,0.005722102110576999
25,0.2776004672003772,0.005908405110216901
32,0.28553856911953757,0.005982427955922099
40,0.2953479512937863,0.00627816657753794
50,0.3029374277465094,0.0062960875152225215
63,0.3120818885439983,0.006568031419014425
79,0.3196302621707411,0.006622357827732841
100,0.3268001028735431,0.006712636381834786
126,0.3325006432621213,0.006783250443421395
158,0.3372746059438677,0.006832315340712589
200,0.3416485634813558,0.006899542040321528
251,0.34514426798627407,0.006885416227393225
316,0.3488124307127411,0.0068573120943365064
398,0.3516217480937072,0.006909926174894326
501,0.35178958801506366,0.006791723267721382
